template_id,node_id,main_element,node_path,node_value
14,1,methods,method > name,Surface cover/%
14,1,methods,method > description,Surface covered by a surface type as percentage of ground covered by the projection.
14,2,attributes,attribute > choice > quantitative > unit,%
14,2,attributes,attribute > choice > quantitative > lowerLimit,0
14,2,attributes,attribute > choice > quantitative > upperLimit,100
14,2,attributes,attribute > choice > quantitative > methodID,1
15,1,methods,method > subject,pH
15,1,methods,method > name,pH/0-14
15,1,methods,method > description,pH scale from 0 to 14
15,2,attributes,attribute > choice > quantitative > unit,dimensionless
15,2,attributes,attribute > choice > quantitative > lowerLimit,0
15,2,attributes,attribute > choice > quantitative > upperLimit,14
15,2,attributes,attribute > choice > quantitative > methodID,1
16,1,methods,method > subject,slope
16,1,methods,method > name,Slope/degrees
16,1,methods,method > description,Slope measured using degrees
16,2,attributes,attribute > choice > quantitative > unit,degrees
16,2,attributes,attribute > choice > quantitative > lowerLimit,0
16,2,attributes,attribute > choice > quantitative > upperLimit,90
16,2,attributes,attribute > choice > quantitative > methodID,1
17,1,methods,method > subject,slope
17,1,methods,method > name,Slope/percent
17,1,methods,method > description,Slope measured using percent
17,2,attributes,attribute > choice > quantitative > unit,%
17,2,attributes,attribute > choice > quantitative > lowerLimit,0
17,2,attributes,attribute > choice > quantitative > upperLimit,100
17,2,attributes,attribute > choice > quantitative > methodID,1
18,1,methods,method > subject,aspect
18,1,methods,method > name,Aspect/degrees
18,1,methods,method > description,Aspect measured using degrees from North
18,2,attributes,attribute > choice > quantitative > unit,degrees
18,2,attributes,attribute > choice > quantitative > lowerLimit,-360
18,2,attributes,attribute > choice > quantitative > upperLimit,360
18,2,attributes,attribute > choice > quantitative > methodID,1
19,1,methods,method > subject,aspect
19,1,methods,method > name,Aspect/radians
19,1,methods,method > description,Aspect measured using radians from North
19,2,attributes,attribute > choice > quantitative > unit,radians
19,2,attributes,attribute > choice > quantitative > lowerLimit,-6.2832
19,2,attributes,attribute > choice > quantitative > upperLimit,6.2832
19,2,attributes,attribute > choice > quantitative > methodID,1
20,1,methods,method > subject,elevation
20,1,methods,method > name,Elevation/m
20,1,methods,method > description,Elevation measured using meters above sea level
20,2,attributes,attribute > choice > quantitative > unit,m
20,2,attributes,attribute > choice > quantitative > methodID,1
21,1,methods,method > subject,location
21,1,methods,method > name,LonLat/degrees
21,1,methods,method > description,"Longitude and latitude of a specific location, measured in degrees"
21,2,attributes,attribute > choice > quantitative > unit,degrees
21,2,attributes,attribute > choice > quantitative > lowerLimit,-180
21,2,attributes,attribute > choice > quantitative > upperLimit,180
21,2,attributes,attribute > choice > quantitative > methodID,1
22,1,methods,method > subject,climate
22,1,methods,method > name,Climate MAT/Celsius
22,1,methods,method > description,Mean annual temperature
22,2,attributes,attribute > choice > quantitative > unit,Celsius
22,2,attributes,attribute > choice > quantitative > methodID,1
23,1,methods,method > subject,climate
23,1,methods,method > name,Climate TWM/Celsius
23,1,methods,method > description,Temperature of the warmest month
23,2,attributes,attribute > choice > quantitative > unit,Celsius
23,2,attributes,attribute > choice > quantitative > methodID,1
24,1,methods,method > subject,climate
24,1,methods,method > name,Climate TCM/Celsius
24,1,methods,method > description,Temperature of the coldest month
24,2,attributes,attribute > choice > quantitative > unit,Celsius
24,2,attributes,attribute > choice > quantitative > methodID,1
25,1,methods,method > subject,climate
25,1,methods,method > name,Climate MDR/Celsius
25,1,methods,method > description,Mean diurnal range
25,2,attributes,attribute > choice > quantitative > unit,Celsius
25,2,attributes,attribute > choice > quantitative > lowerLimit,0
25,2,attributes,attribute > choice > quantitative > methodID,1
26,1,methods,method > subject,climate
26,1,methods,method > name,Climate MAP/mm
26,1,methods,method > description,Mean annual precipitation
26,2,attributes,attribute > choice > quantitative > unit,mm
26,2,attributes,attribute > choice > quantitative > lowerLimit,0
26,2,attributes,attribute > choice > quantitative > methodID,1
27,1,methods,method > subject,climate
27,1,methods,method > name,Climate PDM/mm
27,1,methods,method > description,Precipitation of the driest month
27,2,attributes,attribute > choice > quantitative > unit,mm
27,2,attributes,attribute > choice > quantitative > lowerLimit,0
27,2,attributes,attribute > choice > quantitative > methodID,1
28,1,methods,method > subject,climate
28,1,methods,method > name,Climate PWM/mm
28,1,methods,method > description,Precipitation of the wettest month
28,2,attributes,attribute > choice > quantitative > unit,mm
28,2,attributes,attribute > choice > quantitative > lowerLimit,0
28,2,attributes,attribute > choice > quantitative > methodID,1
29,1,methods,method > subject,stratum definition
29,1,methods,method > name,Strata definition/Recce woody
29,1,methods,method > description,Strata definition/standard Recce woody (levels: Tier 1-Tier 7)
29,1,methods,method > choice > citationString,"Hurst, JM and Allen, RB. (2007) The Recce method for describing Zealand vegetation; Field protocols. Landcare Research, Lincoln."
29,2,attributes,attribute > choice > quantitative > methodID,1
29,2,attributes,attribute > choice > quantitative > unit,m
29,2,attributes,attribute > choice > quantitative > lowerLimit,0
29,2,attributes,attribute > choice > quantitative > upperLimit,999
29,3,strata,stratum > stratumName,Tier 1
29,3,strata,stratum > methodID,1
29,3,strata,stratum > order,1
29,3,strata,stratum > lowerLimit,25
29,4,strata,stratum > stratumName,Tier 2
29,4,strata,stratum > methodID,1
29,4,strata,stratum > order,2
29,4,strata,stratum > lowerLimit,12
29,4,strata,stratum > upperLimit,25
29,5,strata,stratum > stratumName,Tier 3
29,5,strata,stratum > methodID,1
29,5,strata,stratum > order,3
29,5,strata,stratum > lowerLimit,5
29,5,strata,stratum > upperLimit,12
29,6,strata,stratum > stratumName,Tier 4
29,6,strata,stratum > methodID,1
29,6,strata,stratum > order,4
29,6,strata,stratum > lowerLimit,2
29,6,strata,stratum > upperLimit,5
29,7,strata,stratum > stratumName,Tier 5
29,7,strata,stratum > methodID,1
29,7,strata,stratum > order,5
29,7,strata,stratum > lowerLimit,0.3
29,7,strata,stratum > upperLimit,2
29,8,strata,stratum > stratumName,Tier 6
29,8,strata,stratum > methodID,1
29,8,strata,stratum > order,6
29,8,strata,stratum > lowerLimit,0
29,8,strata,stratum > upperLimit,0.3
29,9,strata,stratum > stratumName,Tier 7
29,9,strata,stratum > methodID,1
29,9,strata,stratum > definition,Epiphytes
30,1,methods,method > subject,plant cover
30,1,methods,method > name,Plant cover/Braun-Blanquet (original)
30,1,methods,method > description,"Original Braun-Blanquet scala (levels: r,+,1,2,3,4,5)"
30,2,attributes,attribute > choice > ordinal > methodID,1
30,2,attributes,attribute > choice > ordinal > code,r
30,2,attributes,attribute > choice > ordinal > definition,less than 5 percent cover; very few individuals
30,2,attributes,attribute > choice > ordinal > order,1
30,3,attributes,attribute > choice > ordinal > methodID,1
30,3,attributes,attribute > choice > ordinal > code,+
30,3,attributes,attribute > choice > ordinal > definition,less than 5 percent cover; few individuals
30,3,attributes,attribute > choice > ordinal > order,2
30,4,attributes,attribute > choice > ordinal > methodID,1
30,4,attributes,attribute > choice > ordinal > code,1
30,4,attributes,attribute > choice > ordinal > definition,less than 5 percent cover; numerous individuals
30,4,attributes,attribute > choice > ordinal > order,3
30,5,attributes,attribute > choice > ordinal > methodID,1
30,5,attributes,attribute > choice > ordinal > code,2
30,5,attributes,attribute > choice > ordinal > definition,5-25 percent cover
30,5,attributes,attribute > choice > ordinal > order,4
30,6,attributes,attribute > choice > ordinal > methodID,1
30,6,attributes,attribute > choice > ordinal > code,3
30,6,attributes,attribute > choice > ordinal > definition,26-50 percent cover
30,6,attributes,attribute > choice > ordinal > order,5
30,7,attributes,attribute > choice > ordinal > methodID,1
30,7,attributes,attribute > choice > ordinal > code,4
30,7,attributes,attribute > choice > ordinal > definition,51-75 percent cover
30,7,attributes,attribute > choice > ordinal > order,6
30,8,attributes,attribute > choice > ordinal > methodID,1
30,8,attributes,attribute > choice > ordinal > code,5
30,8,attributes,attribute > choice > ordinal > definition,76-100 percent cover
30,8,attributes,attribute > choice > ordinal > order,7
31,1,methods,method > subject,plant cover
31,1,methods,method > name,Plant cover/Braun-Blanquet (new)
31,1,methods,method > description,"New Braun-Blanquet scala (levels: r, +, 1, 2m, 2a, 2b, 3, 4, 5)"
31,2,attributes,attribute > choice > ordinal > methodID,1
31,2,attributes,attribute > choice > ordinal > code,r
31,2,attributes,attribute > choice > ordinal > definition,"less than 5 percent cover,  very few individuals "
31,2,attributes,attribute > choice > ordinal > order,1
31,3,attributes,attribute > choice > ordinal > methodID,1
31,3,attributes,attribute > choice > ordinal > code,+
31,3,attributes,attribute > choice > ordinal > definition,"less than 5 percent cover, few individuals"
31,3,attributes,attribute > choice > ordinal > order,2
31,4,attributes,attribute > choice > ordinal > methodID,1
31,4,attributes,attribute > choice > ordinal > code,1
31,4,attributes,attribute > choice > ordinal > definition,"less than 5 percent cover, numerous individuals"
31,4,attributes,attribute > choice > ordinal > order,3
31,5,attributes,attribute > choice > ordinal > methodID,1
31,5,attributes,attribute > choice > ordinal > code,2m
31,5,attributes,attribute > choice > ordinal > definition,"less than 5 percent cover, many individuals"
31,5,attributes,attribute > choice > ordinal > order,4
31,6,attributes,attribute > choice > ordinal > methodID,1
31,6,attributes,attribute > choice > ordinal > code,2a
31,6,attributes,attribute > choice > ordinal > definition,"between 5 and 15 percent cover, any number of individuals"
31,6,attributes,attribute > choice > ordinal > order,5
31,7,attributes,attribute > choice > ordinal > methodID,1
31,7,attributes,attribute > choice > ordinal > code,2b
31,7,attributes,attribute > choice > ordinal > definition,"between 16 and 25 percent cover, any number of individuals"
31,7,attributes,attribute > choice > ordinal > order,6
31,8,attributes,attribute > choice > ordinal > methodID,1
31,8,attributes,attribute > choice > ordinal > code,3
31,8,attributes,attribute > choice > ordinal > definition,"between 26 and 50 percent cover, any number of individuals"
31,8,attributes,attribute > choice > ordinal > order,7
31,9,attributes,attribute > choice > ordinal > methodID,1
31,9,attributes,attribute > choice > ordinal > code,4
31,9,attributes,attribute > choice > ordinal > definition,"between 51 and 75 percent cover, any number of individuals"
31,9,attributes,attribute > choice > ordinal > order,8
31,10,attributes,attribute > choice > ordinal > methodID,1
31,10,attributes,attribute > choice > ordinal > code,5
31,10,attributes,attribute > choice > ordinal > definition,"more than 75 percent, any number of individuals"
31,10,attributes,attribute > choice > ordinal > order,9
32,1,methods,method > subject,plant cover
32,1,methods,method > name,Plant cover/Recce
32,1,methods,method > description,"Standard Recce scala (levels: 1,2,3,4,5,6)"
32,2,attributes,attribute > choice > ordinal > methodID,1
32,2,attributes,attribute > choice > ordinal > code,1
32,2,attributes,attribute > choice > ordinal > definition,less than one percent cover
32,2,attributes,attribute > choice > ordinal > order,1
32,3,attributes,attribute > choice > ordinal > methodID,1
32,3,attributes,attribute > choice > ordinal > code,2
32,3,attributes,attribute > choice > ordinal > definition,1-5 percent cover
32,3,attributes,attribute > choice > ordinal > order,2
32,4,attributes,attribute > choice > ordinal > methodID,1
32,4,attributes,attribute > choice > ordinal > code,3
32,4,attributes,attribute > choice > ordinal > definition,6-25 percent cover
32,4,attributes,attribute > choice > ordinal > order,3
32,5,attributes,attribute > choice > ordinal > methodID,1
32,5,attributes,attribute > choice > ordinal > code,4
32,5,attributes,attribute > choice > ordinal > definition,26-50 percent cover
32,5,attributes,attribute > choice > ordinal > order,4
32,6,attributes,attribute > choice > ordinal > methodID,1
32,6,attributes,attribute > choice > ordinal > code,5
32,6,attributes,attribute > choice > ordinal > definition,51-75 percent cover
32,6,attributes,attribute > choice > ordinal > order,5
32,7,attributes,attribute > choice > ordinal > methodID,1
32,7,attributes,attribute > choice > ordinal > code,6
32,7,attributes,attribute > choice > ordinal > definition,76-100 percent cover
32,7,attributes,attribute > choice > ordinal > order,6
33,1,methods,method > subject,Plant cover
33,1,methods,method > name,Presence
33,1,methods,method > description,Presence absence scale
33,2,attributes,attribute > choice > qualitative > methodID,1
33,2,attributes,attribute > choice > qualitative > code,1
33,2,attributes,attribute > choice > qualitative > definition,Presence
34,1,methods,method > subject,stratum definition
34,1,methods,method > name,Strata definition/Turboveg
34,1,methods,method > description,Standard Turboveg stratum definition (levels: 0-9)
34,1,methods,method > choice > citationString,"Hennekens, S.M. and Schaminée, J.H. (2001), TURBOVEG, a comprehensive data base management system for vegetation data. Journal of Vegetation Science, 12: 589-591. https://doi.org/10.2307/3237010"
34,2,strata,stratum > methodID,1
34,2,strata,stratum > stratumName,1
34,2,strata,stratum > definition,Tree layer (high)
34,2,strata,stratum > order,1
34,3,strata,stratum > methodID,1
34,3,strata,stratum > stratumName,2
34,3,strata,stratum > definition,Tree layer (middle)
34,3,strata,stratum > order,2
34,4,strata,stratum > methodID,1
34,4,strata,stratum > stratumName,3
34,4,strata,stratum > definition,Tree layer (low)
34,4,strata,stratum > order,3
34,5,strata,stratum > methodID,1
34,5,strata,stratum > stratumName,4
34,5,strata,stratum > definition,Shrub layer (high)
34,5,strata,stratum > order,4
34,6,strata,stratum > methodID,1
34,6,strata,stratum > stratumName,5
34,6,strata,stratum > definition,Shrub layer (low)
34,6,strata,stratum > order,5
34,7,strata,stratum > methodID,1
34,7,strata,stratum > stratumName,6
34,7,strata,stratum > definition,Herb layer
34,7,strata,stratum > order,6
34,8,strata,stratum > methodID,1
34,8,strata,stratum > stratumName,7
34,8,strata,stratum > definition,Juvenile
34,9,strata,stratum > methodID,1
34,9,strata,stratum > stratumName,8
34,9,strata,stratum > definition,Seedling (less than 1 year)
34,10,strata,stratum > methodID,1
34,10,strata,stratum > stratumName,9
34,10,strata,stratum > definition,Moss layer
35,1,methods,method > subject,stratum definition
35,1,methods,method > name,Strata definition/Recce non-woody
35,1,methods,method > description,"Strata definition/standard Recce non-woody (levels: Tier 1-Tier 4, Tier 5A, Tier 5B, Tier 6A, Tier 6B, Tier 7)"
35,1,methods,method > choice > citationString,"Hurst, JM and Allen, RB. (2007) The Recce method for describing Zealand vegetation; Field protocols. Landcare Research, Lincoln."
35,2,attributes,attribute > choice > quantitative > methodID,1
35,2,attributes,attribute > choice > quantitative > unit,m
35,2,attributes,attribute > choice > quantitative > lowerLimit,0
35,2,attributes,attribute > choice > quantitative > upperLimit,999
35,3,strata,stratum > stratumName,Tier 1
35,3,strata,stratum > methodID,1
35,3,strata,stratum > order,1
35,3,strata,stratum > lowerLimit,25
35,4,strata,stratum > stratumName,Tier 2
35,4,strata,stratum > methodID,1
35,4,strata,stratum > order,2
35,4,strata,stratum > lowerLimit,12
35,4,strata,stratum > upperLimit,25
35,5,strata,stratum > stratumName,Tier 3
35,5,strata,stratum > methodID,1
35,5,strata,stratum > order,3
35,5,strata,stratum > lowerLimit,5
35,5,strata,stratum > upperLimit,12
35,6,strata,stratum > stratumName,Tier 4
35,6,strata,stratum > methodID,1
35,6,strata,stratum > order,4
35,6,strata,stratum > lowerLimit,2
35,6,strata,stratum > upperLimit,5
35,7,strata,stratum > stratumName,Tier 5A
35,7,strata,stratum > methodID,1
35,7,strata,stratum > order,5
35,7,strata,stratum > lowerLimit,1
35,7,strata,stratum > upperLimit,2
35,8,strata,stratum > stratumName,Tier 5B
35,8,strata,stratum > methodID,1
35,8,strata,stratum > order,6
35,8,strata,stratum > lowerLimit,0.3
35,8,strata,stratum > upperLimit,1
35,9,strata,stratum > stratumName,Tier 6A
35,9,strata,stratum > methodID,1
35,9,strata,stratum > order,7
35,9,strata,stratum > lowerLimit,0.1
35,9,strata,stratum > upperLimit,0.3
35,10,strata,stratum > stratumName,Tier 6B
35,10,strata,stratum > methodID,1
35,10,strata,stratum > order,8
35,10,strata,stratum > lowerLimit,0
35,10,strata,stratum > upperLimit,0.1
35,11,strata,stratum > stratumName,Tier 7
35,11,strata,stratum > methodID,1
35,11,strata,stratum > definition,Epiphytes
36,1,methods,method > subject,plant cover
36,1,methods,method > name,Plant cover/Ordinal scale (levels: 1-9) 
36,1,methods,method > description,Ordinal scale (levels: 1-9) 
36,2,attributes,attribute > choice > ordinal > methodID,1
36,2,attributes,attribute > choice > ordinal > code,1
36,2,attributes,attribute > choice > ordinal > definition,1 percent
36,2,attributes,attribute > choice > ordinal > order,1
36,3,attributes,attribute > choice > ordinal > methodID,1
36,3,attributes,attribute > choice > ordinal > code,2
36,3,attributes,attribute > choice > ordinal > definition,2 percent
36,3,attributes,attribute > choice > ordinal > order,2
36,4,attributes,attribute > choice > ordinal > methodID,1
36,4,attributes,attribute > choice > ordinal > code,3
36,4,attributes,attribute > choice > ordinal > definition,3 percent
36,4,attributes,attribute > choice > ordinal > order,3
36,5,attributes,attribute > choice > ordinal > methodID,1
36,5,attributes,attribute > choice > ordinal > code,4
36,5,attributes,attribute > choice > ordinal > definition,4 percent
36,5,attributes,attribute > choice > ordinal > order,4
36,6,attributes,attribute > choice > ordinal > methodID,1
36,6,attributes,attribute > choice > ordinal > code,5
36,6,attributes,attribute > choice > ordinal > definition,8 percent
36,6,attributes,attribute > choice > ordinal > order,5
36,7,attributes,attribute > choice > ordinal > methodID,1
36,7,attributes,attribute > choice > ordinal > code,6
36,7,attributes,attribute > choice > ordinal > definition,18 percent
36,7,attributes,attribute > choice > ordinal > order,6
36,8,attributes,attribute > choice > ordinal > methodID,1
36,8,attributes,attribute > choice > ordinal > code,7
36,8,attributes,attribute > choice > ordinal > definition,38 percent
36,8,attributes,attribute > choice > ordinal > order,7
36,9,attributes,attribute > choice > ordinal > methodID,1
36,9,attributes,attribute > choice > ordinal > code,8
36,9,attributes,attribute > choice > ordinal > definition,68 percent
36,9,attributes,attribute > choice > ordinal > order,8
36,10,attributes,attribute > choice > ordinal > methodID,1
36,10,attributes,attribute > choice > ordinal > code,9
36,10,attributes,attribute > choice > ordinal > definition,88 percent
36,10,attributes,attribute > choice > ordinal > order,9
37,1,methods,method > subject,plant cover
37,1,methods,method > name,"Plant cover/Barkman (levels: r,+r,+p,+a,+b,1p,1a,1b,1m,2a,2b,3a,3b,4a,4b,5a,5b) "
37,1,methods,method > description,"Barkman scale (levels: r,+r,+p,+a,+b,1p,1a,1b,1m,2a,2b,3a,3b,4a,4b,5a,5b) "
37,2,attributes,attribute > choice > ordinal > methodID,1
37,2,attributes,attribute > choice > ordinal > code,r
37,2,attributes,attribute > choice > ordinal > definition,1 percent
37,3,attributes,attribute > choice > ordinal > methodID,1
37,3,attributes,attribute > choice > ordinal > code,+r
37,3,attributes,attribute > choice > ordinal > definition,1 percent
37,4,attributes,attribute > choice > ordinal > methodID,1
37,4,attributes,attribute > choice > ordinal > code,+p
37,4,attributes,attribute > choice > ordinal > definition,1 percent
37,5,attributes,attribute > choice > ordinal > methodID,1
37,5,attributes,attribute > choice > ordinal > code,+a
37,5,attributes,attribute > choice > ordinal > definition,1 percent
37,6,attributes,attribute > choice > ordinal > methodID,1
37,6,attributes,attribute > choice > ordinal > code,+b
37,6,attributes,attribute > choice > ordinal > definition,2 percent
37,7,attributes,attribute > choice > ordinal > methodID,1
37,7,attributes,attribute > choice > ordinal > code,1p
37,7,attributes,attribute > choice > ordinal > definition,1 percent
37,8,attributes,attribute > choice > ordinal > methodID,1
37,8,attributes,attribute > choice > ordinal > code,1a
37,8,attributes,attribute > choice > ordinal > definition,2 percent
37,9,attributes,attribute > choice > ordinal > methodID,1
37,9,attributes,attribute > choice > ordinal > code,1b
37,9,attributes,attribute > choice > ordinal > definition,3 percent
37,10,attributes,attribute > choice > ordinal > methodID,1
37,10,attributes,attribute > choice > ordinal > code,2m
37,10,attributes,attribute > choice > ordinal > definition,4 percent
37,11,attributes,attribute > choice > ordinal > methodID,1
37,11,attributes,attribute > choice > ordinal > code,2a
37,11,attributes,attribute > choice > ordinal > definition,8 percent
37,12,attributes,attribute > choice > ordinal > methodID,1
37,12,attributes,attribute > choice > ordinal > code,2b
37,12,attributes,attribute > choice > ordinal > definition,18 percent
37,13,attributes,attribute > choice > ordinal > methodID,1
37,13,attributes,attribute > choice > ordinal > code,3a
37,13,attributes,attribute > choice > ordinal > definition,31 percent
37,14,attributes,attribute > choice > ordinal > methodID,1
37,14,attributes,attribute > choice > ordinal > code,3b
37,14,attributes,attribute > choice > ordinal > definition,43 percent
37,15,attributes,attribute > choice > ordinal > methodID,1
37,15,attributes,attribute > choice > ordinal > code,4a
37,15,attributes,attribute > choice > ordinal > definition,56 percent
37,16,attributes,attribute > choice > ordinal > methodID,1
37,16,attributes,attribute > choice > ordinal > code,4b
37,16,attributes,attribute > choice > ordinal > definition,68 percent
37,17,attributes,attribute > choice > ordinal > methodID,1
37,17,attributes,attribute > choice > ordinal > code,5a
37,17,attributes,attribute > choice > ordinal > definition,81 percent
37,18,attributes,attribute > choice > ordinal > methodID,1
37,18,attributes,attribute > choice > ordinal > code,5b
37,18,attributes,attribute > choice > ordinal > definition,93 percent
38,1,methods,method > subject,plant cover
38,1,methods,method > name,Plant cover/Constancy classes (levels: 1-5)
38,1,methods,method > description,Constancy classes (levels: 1-5)
38,2,attributes,attribute > choice > ordinal > methodID,1
38,2,attributes,attribute > choice > ordinal > code,1
38,2,attributes,attribute > choice > ordinal > definition,10 percent
38,2,attributes,attribute > choice > ordinal > order,1
38,3,attributes,attribute > choice > ordinal > methodID,1
38,3,attributes,attribute > choice > ordinal > code,2
38,3,attributes,attribute > choice > ordinal > definition,30 percent
38,3,attributes,attribute > choice > ordinal > order,2
38,4,attributes,attribute > choice > ordinal > methodID,1
38,4,attributes,attribute > choice > ordinal > code,3
38,4,attributes,attribute > choice > ordinal > definition,50 percent
38,4,attributes,attribute > choice > ordinal > order,3
38,5,attributes,attribute > choice > ordinal > methodID,1
38,5,attributes,attribute > choice > ordinal > code,4
38,5,attributes,attribute > choice > ordinal > definition,70 percent
38,5,attributes,attribute > choice > ordinal > order,4
38,6,attributes,attribute > choice > ordinal > methodID,1
38,6,attributes,attribute > choice > ordinal > code,5
38,6,attributes,attribute > choice > ordinal > definition,90 percent
38,6,attributes,attribute > choice > ordinal > order,5
39,1,methods,method > subject,plant cover
39,1,methods,method > name,Plant cover/Daubermire (levels: 1-6)
39,1,methods,method > description,Daubermire scale (levels: 1-6)
39,2,attributes,attribute > choice > ordinal > methodID,1
39,2,attributes,attribute > choice > ordinal > code,1
39,2,attributes,attribute > choice > ordinal > definition,2.5 percent
39,2,attributes,attribute > choice > ordinal > order,1
39,3,attributes,attribute > choice > ordinal > methodID,1
39,3,attributes,attribute > choice > ordinal > code,2
39,3,attributes,attribute > choice > ordinal > definition,15 percent
39,3,attributes,attribute > choice > ordinal > order,2
39,4,attributes,attribute > choice > ordinal > methodID,1
39,4,attributes,attribute > choice > ordinal > code,3
39,4,attributes,attribute > choice > ordinal > definition,37.5 percent
39,4,attributes,attribute > choice > ordinal > order,3
39,5,attributes,attribute > choice > ordinal > methodID,1
39,5,attributes,attribute > choice > ordinal > code,4
39,5,attributes,attribute > choice > ordinal > definition,62.5 percent
39,5,attributes,attribute > choice > ordinal > order,4
39,6,attributes,attribute > choice > ordinal > methodID,1
39,6,attributes,attribute > choice > ordinal > code,5
39,6,attributes,attribute > choice > ordinal > definition,85 percent
39,6,attributes,attribute > choice > ordinal > order,5
39,7,attributes,attribute > choice > ordinal > methodID,1
39,7,attributes,attribute > choice > ordinal > code,6
39,7,attributes,attribute > choice > ordinal > definition,97.5 percent
39,7,attributes,attribute > choice > ordinal > order,6
40,1,methods,method > subject,plant cover
40,1,methods,method > name,"Plant cover/Dengler (levels: r,+,1,2a,2b,3,4,5)"
40,1,methods,method > description,"Dengler scale (levels: r,+,1,2a,2b,3,4,5)"
40,2,attributes,attribute > choice > ordinal > methodID,1
40,2,attributes,attribute > choice > ordinal > code,r
40,2,attributes,attribute > choice > ordinal > definition,0.5 percent
40,2,attributes,attribute > choice > ordinal > order,1
40,3,attributes,attribute > choice > ordinal > methodID,1
40,3,attributes,attribute > choice > ordinal > code,+
40,3,attributes,attribute > choice > ordinal > definition,1.8 percent
40,3,attributes,attribute > choice > ordinal > order,2
40,4,attributes,attribute > choice > ordinal > methodID,1
40,4,attributes,attribute > choice > ordinal > code,1
40,4,attributes,attribute > choice > ordinal > definition,3.8 percent
40,4,attributes,attribute > choice > ordinal > order,3
